Title,Date Posted,Employer,Location,Salary,Employment Type,Start Date,Vacancies,Description,Languages,Education,Experience,Responsibilities
truck mechanic,"Posted on March 08, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,,Starts as soon as possible,1 vacancy,"Experience the ruggedness and raw beauty of Canada's far North! Join the team at one of Canada's leading diamond companies that not only mines these precious stones, but also produces, cuts, polishes, markets, and sells diamonds across the globe. It is a great time to join our team with an exciting mine life extending through another generation!
 
 Scope of work includes the troubleshooting, repair, and maintenance of a large fleet of mining mobile equipment (underground and surface). Red Seal Certification and five years heavy construction/mining experience is required.
 
 This opportunity includes premier pay, daily overtime, 12 hours workdays, an even 'days in' and 'days off' work schedule; full access to on-site",,,,
line cook,"Posted on December 24, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Prepare and cook complete meals or individual dishes and foods. Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies. Inspect kitchens and food service areas. Train staff in preparation, cooking and handling of food. Supervise kitchen staff and helpers. Maintain inventory and records of food, supplies and equipment. Clean kitchen and work areas. Organize and manage buffets and banquets. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Supervise kitchen staff and helpers, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Organize buffets and banquets"
cook,"Posted on December 29, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$21.00 to $23.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,,2 vacancies,"Education: Secondary (high) school graduation certificate. Work setting: Restaurant. Willing to relocate. Bar. Tasks: Prepare and cook complete meals or individual dishes and foods. Prepare dishes for customers with food allergies or intolerances. Prepare and cook special meals for patients as instructed by dietitian or chef. Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies. Train staff in preparation, cooking and handling of food. Order supplies and equipment. Maintain inventory and records of food, supplies and equipment. Clean kitchen and work areas. Manage kitchen operations. Personal suitability: Client focus. Flexibility. Organized. Team player. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Manage kitchen operations"
auto body technician,"Posted on December 07, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$40.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. or equivalent experience. Tasks: Review damage report and estimates of repair cost and plan work to be performed. Replace front end components, body components, doors and frame and underbody components. Hammer out dents, buckles and defects using blocks and hammers. Remove damaged fenders, panels and grills and bolt or weld replacement parts into place. Operate soldering equipment or use plastic filler to fill holes, dents and seams. Work conditions and physical capabilities: Attention to detail. Bending, crouching, kneeling. Personal suitability: Client focus. Excellent oral communication. Judgement. Experience: 2 years to less than 3 years. Health benefits: Health care plan.",English,"Secondary (high) school graduation certificate

or equivalent experience",2 years to less than 3 years,"Review damage report and estimates of repair cost and plan work to be performed, Replace front end components, body components, doors and frame and underbody components, Hammer out dents, buckles and defects using blocks and hammers, Remove damaged fenders, panels and grills and bolt or weld replacement parts into place, Operate soldering equipment or use plastic filler to fill holes, dents and seams"
dental hygienist,"Posted on March 06, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT","$10,000 to $12,000MONTH monthly (To be negotiated) MONTH",Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. or equivalent experience. Certificates, licences, memberships, and courses : Dental Hygienists Licensure by the appropriate provincial or territorial governing body. Screening questions: Are you currently legally able to work in Canada?. Are you willing to relocate for this position?. Experience: Experience an asset.",English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",Experience an asset,
automotive body repairer-painter,"Posted on December 19, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$40.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: Secondary (high) school graduation certificate. or equivalent experience. Work setting: In shop. Tasks: Professionalism in customer service. Review damage report and estimates of repair cost and plan work to be performed. Clean and maintain work space. Mask and tape auto body surfaces in preparation for painting. Apply primers and repaint surfaces. Mix paint, blend and match colors. Area of work experience: Paint spraying. Work conditions and physical capabilities: Attention to detail. Personal suitability: Accurate. Judgement. Team player. Experience: 2 years to less than 3 years. Health benefits: Health care plan.",English,"Secondary (high) school graduation certificate

or equivalent experience",2 years to less than 3 years,"Professionalism in customer service, Review damage report and estimates of repair cost and plan work to be performed, Clean and maintain work space, Mask and tape auto body surfaces in preparation for painting, Apply primers and repaint surfaces, Mix paint, blend and match colors"
social worker,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"General Description  &lt;p&gt;The Social Emotional Student Coach reports to the School Principal or designate, and works closely with the Student Support Team at the district and school level, to provide a variety of individual and group support to students. The  Social Emotional Student Coach is familiar with many of the challenges facing students and families at home, school and in the community.  They will also be informed about community services, programs and resources so they can work with the School Based Support Team to provide comprehensive support for each student referred. &lt;p&gt;The Social Emotional Student Coach will have ongoing professional development, training and monitoring to ensure the language, approaches and methodology is congruent and respectful with other specialists and support personnel working with students who exhibit trauma and challenging behaviors. The Regional Inclusive Schooling Coordinator (RISC) works closely with the school principal to set up a year plan. &lt;p&gt;Required Education and Recommended Knowledge, Qualifications and Experience &lt;p&gt;Must hold, or be eligible for a(n) NWT Teaching Certificate&lt;p&gt;B.Ed with specialization in Inclusive Schooling&lt;p&gt;Experience working as a Program Support Teacher&lt;p&gt;Experience working with diverse learners&lt;p&gt;Knowledge of trans-generational impact of residential schooling&lt;p&gt;Knowledge of cultural factors that impact the learning, school success and the social /    emotional development&lt;p&gt;Knowledge of the functions of behaviour, self regulation, trauma and healing supports for children and youth &lt;p&gt;Knowledge of relationship building&lt;p&gt;Knowledge of low incidence arousal strategies &lt;p&gt;Knowledge of Non-Violent Crisis Intervention Strategies and SIVA (Supporting Individuals with Valued Attachment) &lt;p&gt;Knowledge of collaboration and multidisciplinary approaches within a school environment. Required Skills and Abilities &lt;p&gt;Ability to practice in a non-judgmental, culturally sensitive, and empathetic manner&lt;p&gt;Ability to manage challenging behaviour both verbal, physical and emotional in nature. &lt;p&gt;Ability to work with children who have diverse trauma and/or neurodiversity&lt;p&gt;Excellent interpersonal skills&lt;p&gt;Excellent listening communication skills as primary, verbal and written as secondary&lt;p&gt;Effective negotiation and consultation skills&lt;p&gt;Analytical and problem solving skills&lt;p&gt;Excellent time management skills&lt;p&gt;Ability to work independently and as part of a team&lt;p&gt;Decision making skills and manage several tasks at one time&lt;p&gt;Stress management skills&lt;p&gt;",,,,
"teacher, kindergarten","Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Required Education and Recommended Knowledge, Qualifications and Experience    &lt;p&gt;    Must hold, or be eligible for a(n) NWT Teaching Certificate    &lt;p&gt;    Bachelor of Education Degree (specialization in Music Education)    &lt;p&gt;    Experience teaching band instruments and percussion at the Grade 8-12 level    &lt;p&gt;    Live performance experience and how it relates to music production techniques    &lt;p&gt;    Experience in preparation, instruction, assessment, and evaluation of students using a broad range of flexible teaching and learning practices and technologies    &lt;p&gt;    Demonstrated experience liaising with business and industry partners in the field    &lt;p&gt;    Experience with latest industry practices relevant to the music program    &lt;p&gt;    Assets would include knowledge of sound gear and live sound engineering for school assemblies, concerts, coffee house performance nights (both in live and studio production)         &lt;p&gt;        i.e Si Sibelius and/or Finale Notation Software, Pro Tools and/or Logic or Cubase or Garageband        &lt;p&gt;    Experience teaching in a northern communities and an understanding of Indigenous cultures would be an asset    &lt;p&gt;    Equivalences will be considered    &lt;p&gt;    Vulnerable Sector Check is a requirement &lt;p&gt;Required Skills and Abilities    &lt;p&gt;    Video editing skills for making your own YouTube and social media channels    &lt;p&gt;    Ability to motivate and inform students on the job possibilities in this field    &lt;p&gt;    Ability to provide theoretical and practical instruction in Music Production &amp; Engineering",,,,
retail store supervisor,"Posted on January 22, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$22.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Work setting: Retail business. Tasks: Assign sales workers to duties. Order merchandise. Authorize return of merchandise. Establish work schedules. Sell merchandise. Prepare reports on sales volumes, merchandising and personnel matters. Organize and maintain inventory. Resolve problems that arise, such as customer complaints and supply shortages. Supervise and co-ordinate activities of workers. Supervision: 3-4 people. Work conditions and physical capabilities: Fast-paced environment. Standing for extended periods. Personal suitability: Accurate. Organized. Reliability. Team player. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Assign sales workers to duties, Order merchandise, Authorize return of merchandise, Establish work schedules, Sell merchandise, Prepare reports on sales volumes, merchandising and personnel matters, Organize and maintain inventory, Resolve issues that may arise, including customer requests, complaints and supply shortages, Supervise and co-ordinate activities of workers, 3-4 people"
animal health technician,"Posted on February 08, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT","$60,000 to $66,000YEAR annually (To be negotiated) YEAR",Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Other trades certificate or diploma. or equivalent experience. Work setting: Veterinary clinic. Animal hospital. Tasks: Handle, restrain and care for animals undergoing treatment and surgery. Assist veterinarian before, during and after surgery. Prepare and administer medications and vaccines under direction of veterinarian. Administer treatments as prescribed by veterinarian. Identify livestock. Counsel clients on animal health care. Produce diagnostic radiographs, collect samples and perform other laboratory tests. Perform routine animal dental procedures and assist veterinarians with animal dentistry. Provide nursing care and rehabilitation therapy for animals. Provide wound and bandage care. Area of specialization: Animal dentistry. Exotic animals. Small animals. Emergency care. Animal training. Marine life. Security and safety: Basic security clearance. Criminal record check. Driver's validity licence check. Transportation/travel information: Valid driver's licence. Work conditions and physical capabilities: Handling heavy loads. Manual dexterity. Attention to detail. Hand-eye co-ordination. Fast-paced environment. Walking. Standing for extended periods. Bending, crouching, kneeling. Combination of sitting, standing, walking. Ability to distinguish between colours. Repetitive tasks. Work under pressure. Physically demanding. Personal suitability: Accurate. Client focus. Efficient interpersonal skills. Excellent oral communication. Excellent written communication. Flexibility. Initiative. Judgement. Organized. Team player. Screening questions: Are you currently legally able to work in Canada?. Are you willing to relocate for this position?. Do you have previous experience in this field of employment?. Do you have the above-indicated required certifications?. What is the highest level of study you have completed?. Experience: 1 year to less than 2 years. Health benefits: Dental plan. Disability benefits. Health care plan. Vision care benefits. Financial benefits: Group insurance benefits. Other benefits: Free parking available.",English,"Other trades certificate or diploma

or equivalent experience",1 year to less than 2 years,"Handle, restrain and care for animals undergoing treatment and surgery, Assist veterinarian before, during and after surgery, Prepare and administer medications and vaccines under direction of veterinarian, Administer treatments as prescribed by veterinarian, Identify livestock, Counsel clients on animal health care, Produce diagnostic radiographs, collect samples and perform other laboratory tests, Perform routine animal dental procedures and assist veterinarians with animal dentistry, Provide nursing care and rehabilitation therapy for animals, Provide wound and bandage care"
food service supervisor,"Posted on January 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$18.33HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,5 vacancies,"Education: No degree, certificate or diploma. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Estimate ingredient and supplies required for meal preparation . Ensure that food and service meet quality control standards. Maintain records of stock, repairs, sales and wastage. Prepare and submit reports. Establish work schedules. Work conditions and physical capabilities: Fast-paced environment. Experience: 1 year to less than 2 years.",English,"No degree, certificate or diploma",1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Establish work schedules"
regional administrative manager,"Posted on March 19, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT","$134,827 to $158,601YEAR annually YEAR",Permanent employment,Starts as soon as possible,1 vacancy,"<p><strong>CanNor</strong><span> </span><strong>is looking for Executive Talent!</strong></p><p>Canadian Northern Economic Development Agency Yellowknife<br>Northwest Territories; EX-01</p><ul><li><strong>Reference number:</strong> NED24J-082305-000027</li><li><strong>Selection process number:</strong> 24-NED-EA-NT-OPS-618323</li></ul><p>The intent of this process is to fill<span> </span><strong>1 full-time permanent position</strong><span> </span>in Yellowknife, Northwest Territories.<br>Candidates applying from outside of Yellowknife must be willing to relocate*.</p><p>The salary range for this position is:<span> </span><strong>$134,827 to $158,601.</strong><br>In addition, the selected candidate will also be entitled to:<br>- A Northern allowance (approximately $18,200/year to $26,000/year**)<br>- Vacation travel assistance of approximately $1,385 per person/year** (i.e. for employee and eligible dependents, including spouse/common-law partner).</p><p>*Financial assistance is also available to help cover the costs of relocation. Applicants may wish to review the Relocation Directive for information at http://www.njc-cnm.gc.ca/directive/nrd-drc/index-eng.php.<br>**Please note that rates and conditions are subject to change.</p><p>For further information on the organization, please visit Canadian Northern Economic Development Agency</p><ul><li><strong>Closing date</strong>: 2 April 2024 - 23:59, Pacific Time</li><li><strong>Who can apply:</strong> Persons residing in Canada, and Canadian citizens and Permanent residents abroad.</li></ul><strong>Apply online</strong> : https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1710?careerChoiceId=2140182&psrsMode=1",,,,
office administrator,"Posted on December 19, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$38.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Education: Secondary (high) school graduation certificate. Work setting: Urban area. Tasks: Review and evaluate new administrative procedures . Establish work priorities and ensure procedures are followed and deadlines are met. Perform data entry. Oversee and co-ordinate office administrative procedures. Resolve conflict situations. Oversee payroll administration. Supervision: No supervision responsibility. Work conditions and physical capabilities: Ability to work independently. Fast-paced environment. Tight deadlines. Attention to detail. Personal suitability: Excellent oral communication. Excellent written communication. Organized. Reliability. Time management. Team player. Experience: 1 to less than 7 months. Other benefits: Free parking available.,English,Secondary (high) school graduation certificate,1 to less than 7 months,"Review and evaluate new administrative procedures, Establish work priorities and ensure procedures are followed and deadlines are met, Perform data entry, Oversee and co-ordinate office administrative procedures, Resolve conflict situations, Oversee payroll administration, No supervision responsibility"
cook,"Posted on January 22, 2024",Government of Canada / Gouvernement du Canada,"Fort Smith, NT",$20.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: No degree, certificate or diploma. Work setting: Restaurant. Tasks: Prepare and cook complete meals or individual dishes and foods. Prepare dishes for customers with food allergies or intolerances. Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies. Inspect kitchens and food service areas. Supervise kitchen staff and helpers. Clean kitchen and work areas. Manage kitchen operations. Work conditions and physical capabilities: Attention to detail. Fast-paced environment. Physically demanding. Repetitive tasks. Work under pressure. Personal suitability: Dependability. Organized. Reliability. Team player. Experience: 2 years to less than 3 years.",English,"No degree, certificate or diploma",2 years to less than 3 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Supervise kitchen staff and helpers, Clean kitchen and work areas, Manage kitchen operations"
aircraft sales representative,"Posted on March 11, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,Full time,Starts as soon as possible,1 vacancy,"<p><strong>The Opportunity</strong></p> <p>Obtaining and up-selling parts and service orders, creating customer satisfaction and adding value to the customer?s buying experience.<br>Provide consistently high levels of customer service to customers and accounts, reaching business targets through excellent telephone sales and communication skills.</p> <p> </p> <p><strong>The Role</strong></p> <p>? Develop and maintain confidential client information utilizing Wajax?s CRM software.<br>? Manages Customer Satisfaction with all existing customers by delivering the utmost in customer<br>service.<br>? Generate new and repeat sales by providing product and pricing information in a timely manner.<br>? Determine customer requirements and expectations in order to recommend specific products and<br>solutions.<br>? Recommend alternative products based on cost, availability or specifications.<br>? Increase sales and average order size by means of cross-selling, up-selling, add-on sales and<br>offering promotional sales items.<br>? Prepare customer presentations, tenders, RFQs and Project Quotations for After Market Sales Reps<br>as required<br>? Attend site visits and customer presentations with After Market Sales Rep as required.<br>? Respond to customers via phone, fax or email for quotes, purchases, etc. in a timely<br>manner after hours on call rotation.</p> <p> </p> <p><strong>The Candidate</strong></p> <ul> <li>Technical, electromechanical or post-secondary diploma related to the industrial field or equivalent experience.</li> <li>Knowledge of mechanical power transmission, hydraulics and/or pneumatic's</li> <li>Working knowledge of Microsoft Office, including Outlook, Excel, Word and PowerPoint, CRM (Salesforce<br>preferred), completion of ongoing product training</li> <li>Responsible and adaptable</li> <li>Problem solving skills</li> <li>Results-oriented and willingness to always offer superior service</li> <li>Demonstrated skills in planning and organization of work</li> <li>Good team spirit</li> </ul> <p> </p> <p><strong>The Company</strong></p> <p> </p> <p>Since 1858, Wajax has been a leading industrial products and solutions provider continually innovating to serve Canadian industry coast-to-coast. We work in an extensive range of industries and core sectors of the Canadian economy including energy and renewables, food and beverage, construction, industrial/commercial, transportation, forestry, mining, metal processing, and oil and gas - to name a few. Everything we do is powered by people passionate about making a difference and who are dedicated to driving Canadian industry forward. People who provide the experience and expertise that support the industries that build our cities, power our businesses, put a roof over our heads and food on our tables.</p> <p> </p> <p>Wajax offers a total compensation package that includes competitive pay, comprehensive benefits, learning and development, as well as some unique additional ?perks.?</p> <p> </p> <p>Highlights include:</p> <ul> <li>Competitive health and dental benefits with no waiting period for eligibility (100% employer paid premiums), plus health spending account.</li> <li>Wajax led e-learning, and product training through industry leading manufacturers.</li> <li>Exclusive discounts with a variety of manufacturers and service providers such as Ford, GM, Chrysler, Dell, TELUS, a group mortgage, home & auto insurance program, pet insurance, footwear & workwear, fitness membership, perkopolis, and more.</li> <li>Recognition program where points are earned for merchandise or gift certificates, plus cash awards.</li> <li>Flexible work arrangements.</li> <li><span>Award-Winning Health and Wellness Program.</span></li> </ul> <p> </p> <p>By working with Wajax, you become part of an inclusive and diverse team that is dedicated to innovation and teamwork. We are committed to employing a workforce that is representative of the diverse communities across Canada in which we do business. As a",,,,
housekeeping room attendant,"Posted on January 18, 2024",Government of Canada / Gouvernement du Canada,"Fort Smith, NT",$21.20HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. or equivalent experience. Tasks: Sweep, mop, wash and polish floors. Dust furniture. Vacuum carpeting, area rugs, draperies and upholstered furniture. Make beds and change sheets. Distribute clean towels and toiletries. Stock linen closet. Clean, disinfect and polish kitchen and bathroom fixtures and appliances. Disinfect operating rooms and other areas. Handle and report lost and found items. Attend to guests' requests for extra supplies or other items. Pick up debris and empty trash containers. Clean changing rooms and showers. Address customers' complaints or concerns. Experience: Will train.",English,"Secondary (high) school graduation certificate

or equivalent experience",Will train,"Sweep, mop, wash and polish floors, Dust furniture, Vacuum carpeting, area rugs, draperies and upholstered furniture, Make beds and change sheets, Distribute clean towels and toiletries, Stock linen closet, Clean, disinfect and polish kitchen and bathroom fixtures and appliances, Disinfect operating rooms and other areas, Handle and report lost and found items, Attend to guests' requests for extra supplies or other items, Pick up debris and empty trash containers, Clean changing rooms and showers, Address customers' complaints or concerns"
executive housekeeper,"Posted on February 10, 2024",Government of Canada / Gouvernement du Canada,"Hay River, NT",$20.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Plan and co-ordinate activities of housekeeping supervisors and crews. Co-ordinate inspection of assigned areas. Supervise staff. Co-ordinate contract services. Ensure that safety standards and departmental policies are met. Supervise maintenance and repair services. Co-ordinate maintenance and repair services. Maintain inventory of supplies, equipment and uniforms. Supervise in-house laundry services. Co-ordinate in-house laundry services. Schedule and assign duties of housekeeping staff. Experience: 1 year to less than 2 years. Health benefits: Health care plan.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Plan and co-ordinate activities of housekeeping supervisors and crews, Co-ordinate inspection of assigned areas, Supervise staff, Co-ordinate contract services, Ensure that safety standards and departmental policies are met, Supervise maintenance and repair services, Co-ordinate maintenance and repair services, Maintain inventory of supplies, equipment and uniforms, Supervise in-house laundry services, Co-ordinate in-house laundry services, Schedule and assign duties of housekeeping staff"
food service supervisor,"Posted on January 16, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,4 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Establish methods to meet work schedules. Train staff in job duties, sanitation and safety procedures. Estimate and order ingredients and supplies. Ensure food service and quality control. Address customers' complaints or concerns. Maintain records of stock, repairs, sales and wastage. Supervise and check assembly of trays. Experience: 1 year to less than 2 years.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Supervise and check assembly of trays"
"supervisor, security guards","Posted on February 05, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$25.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. Tasks: Arrange for maintenance and repair work. Be the point of contact when in need to handle emergency situations. Co-ordinate activities with other work units or departments. Ensure smooth operation of computer equipment and machinery. Establish work schedules and procedures. Monitor quality and production levels. Prepare and submit progress and other reports. Resolve work problems, provide technical advice and recommend measures to improve productivity and product quality. Supervise, co-ordinate and schedule (and possibly review) activities of workers. Train staff/workers in job duties, safety procedures and company policies. Certificates, licences, memberships, and courses : Security Guard License. Personal suitability: Organized. Reliability. Experience: 7 months to less than 1 year.",English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Arrange for maintenance and repair work, Be the point of contact when in need to handle emergency situations, Co-ordinate activities with other work units or departments, Ensure smooth operation of computer equipment and machinery, Establish work schedules and procedures, Monitor quality and production levels, Prepare and submit progress and other reports, Resolve work problems, provide technical advice and recommend measures to improve productivity and product quality, Supervise, co-ordinate and schedule (and possibly review) activities of workers, Train staff/workers in job duties, safety procedures and company policies"
building inspector,"Posted on March 21, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT","$90,760.5YEAR annually YEAR",Permanent employmentFull time,Starts as soon as possible,1 vacancy,"City of YellowknifeBuilding Inspector IIIThe City of Yellowknife is an inclusive employer offering a dynamic and rewarding work environment that delivers valuable services to our residents. The City is committed to hiring a diverse and skilled workforce that is representative of the community, strengthening our ability to provide high-quality services and excellent customer service to residents. In addition, the City of Yellowknife is committed to reconciliation and implementing actions intended to increase the number of Indigenous peoples who work for the City. The City of Yellowknife welcomes applications from all qualified candidates and encourages Indigenous persons, visible minorities, and persons with a disability to self-declare when submitting their applications. We are currently seeking a dynamic and driven individual to assume the rewarding position of Building Inspector III with the Planning and Development Department. Under the direction of the Manager, Lands and Building Services the Building Inspector Class III, is required to complete complex plans review, inspection and regulatory work. Responsibilities include guiding and assisting the activities of a group of technical inspectors engaged in inspecting all types of buildings during construction, deconstruction, renovation, change of occupancy, alteration and enforcement of various municipal By-laws, codes and regulations. The incumbent assists the Manager in directing the activities of the Building Inspections within the Division by reviewing daily work assignments, coordinates work schedules, and performs periodic check inspections to ensure that assignments are carried out in accordance with departmental standards and procedures. Inspects commercial, industrial, institutional residential projects during construction, alteration, change of use, or repair to ensure conformity with approved plans and compliance with applicable sections of By- laws, Acts, codes, standards and regulations. Conducts inspections of problematic or difficult permits and assists other inspectors with complex inspections and problems and with matters relating to enforcement and interpretation of By-laws and codes. Qualifications for the position include a Post-secondary education in a professional discipline pertinent to the role such as Architectural, Mechanical and/or Engineering combined with Level III Certification from the Building Officials Association of any province with five or more years? experience. Or completion of a recognized trade apprenticeship or graduation from an institute of technology with a diploma or degree in a relevant field with a Level III certification from the Building Officials Association of any province with six or more years? experience. The work requires considerable knowledge of building construction materials and methods, stages of construction, plumbing, heating and ventilation codes, and regulations and techniques regarding energy-efficient building practices. Also required would be the ability to handle a complex and varied workload, the ability to communicate effectively and diplomatically complex technical information, strong computer skills including using a variety of related software, and a valid Class 5 drivers? license. The salary range is $90,760.50 - $110,315.63 with an additional $5,400 annually for Housing and Vacation Travel Allowances and a comprehensive benefits package, including a defined benefit pension plan and relocation assistance. Applications will be accepted until the position is filled.Please visit the City of Yellowknife Website at: www.yellowknife.ca to submit your resume.",,,,
"sales representative, commercial and industrial equipment and supplies","Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$24.00 to $40.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: Secondary (high) school graduation certificate. or equivalent experience. Tasks: Identify and solicit potential clients. Conduct sales transactions. Provide clients with presentations on the benefits and uses of goods or services. Computer and technology knowledge: Word processing software. Electronic mail. Spreadsheet. Cleaning experience: Industrial equipment. Sales experience: Trucks and trailers. Security and safety: Driving record check (abstract). Transportation/travel information: Willing to travel. Valid driver's licence. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Tight deadlines. Attention to detail. Sitting. Combination of sitting, standing, walking. Experience: 2 years to less than 3 years. Health benefits: Dental plan. Disability benefits. Health care plan. Financial benefits: Life insurance. Other benefits: Deferred Profit Sharing Plan (DPSP).",English,"Secondary (high) school graduation certificate

or equivalent experience",2 years to less than 3 years,"Identify and solicit potential clients, Conduct sales transactions, Provide clients with presentations on the benefits and uses of goods or services"
"guard, security","Posted on February 05, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$18.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,Education: Secondary (high) school graduation certificate. Tasks: Assist clients/guests with special needs. Produce reports. Check age identification of patrons. Enforce regulations to maintain order and resolve conflicts and to monitor establishment activities. Investigate unlawful acts of employees or patrons of establishments and recommend security systems. Operate security control room equipment. Patrol assigned areas. Perform security checks of passengers and luggage. Experience: Will train.,English,Secondary (high) school graduation certificate,Will train,"Assist clients/guests with special needs, Produce reports, Check age identification of patrons, Enforce regulations to maintain order and resolve conflicts and to monitor establishment activities, Investigate unlawful acts of employees or patrons of establishments and recommend security systems, Operate security control room equipment, Patrol assigned areas, Perform security checks of passengers and luggage"
food service supervisor,"Posted on January 13, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$22.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,1 vacancy,"Education: College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years. or equivalent experience. Experience: 2 years to less than 3 years.",English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",2 years to less than 3 years,
